mode,runs,success_rate,tool_count_median,tool_definitions_bytes_median,total_tokens_median,prompt_bytes_median,latency_ms_median,estimated_cost_usd_median
"baseline-10000",6,0,"","","","","",""
"baseline-2000",6,0,"","","","","",""
"baseline-20000",6,0,"","","","","",""
"baseline-5000",6,0,"","","","","",""
"toolbox-1",6,1,1,327,269,1125,747.5,0.001035
"toolbox",6,1,1,327,269,1125,801.5,0.001035
"scaled-30",6,1,30,13021,3042,13819,667,0.009354
"baseline-30",6,1,30,13021,3042,13819,715.5,0.009354
"scaled-50",6,1,50,18213,4246,19011,690.5,0.012966
"baseline-50",6,1,50,18213,4246,19011,709.5,0.012966
"scaled-100",6,1,100,33711,7713,34509,921,0.023343
"baseline-100",6,1,100,33691,7713,34489,707,0.023367
"scaled-150",6,1,150,49317,11255,50115,959.5,0.033969
"baseline-150",6,1,150,49135,11216,49933,781,0.033876
"baseline-200",6,1,200,66478,15037,67276,959.5,0.045339
"baseline-500",6,1,500,159978,36101,160776,1525.5,0.108531
"baseline-1000",6,0.333,1000,317221,71422,318019,1440,0.21447
